,text,source
26,ทำธุรกิจรถให้เช่า ซื้อประกันชั้น1 แต่รถเป็นประเภทแบบบุคคลธรรมดา สามารถเคลมได้ไหม,pantip
27,ก่อนอื่นเลยผมเริ่มทำธุรกิจรถให้เช่า ไม่นาน เจอปัญหาอยากจะถามพี่ๆในกลุ่มครับในประกันชั้น1 ของผมไม่ระบุคนขับ แล้วในกรมธรรม์ระบุว่า การใช้รถยนต์ : ใช้ส่วนบุคคล ไม่ใช่รับจ้างหรือให้เช่าแต่ผมถามเอเจนแล้ว มันสามารถเคลม ผมเลยลจะมาปรึกษาพี่ๆในนี้ครับ1.กรณีชาวคนไทยเกิดอุบัติเหตุ ผมอาจจะพอเตี๊ยมกับ คนไทยว่าเหมือนยืมรถมาแล้วเกิดอุบัติเหตุ แล้วก้อเคลม2.กรณีชาวต่างชาติแต่ในกรณีนี้ ผมต้องจัดการยังไง ใช้กรณีเคสเดียวกับ คนไทยไหม (ซึ่งคนต่างชาติมีใบอนุญาติขับขี่สากล) ถ้าเกิดอุบัติเหตุ ผมต้องดำเนินการอย่างไร เพื่อจะเคลมประกันได้ทั้งหมดทั้งมวลลองถามประกันแล้วเขาขออนุญาติไม่ให้คำแนะนำ เลยพอเข้าใจได้,pantip
28,ผู้ใหญ่ AXA ประกันเดินทาง ช่วยกลับมาทำงานด้วยค่ะ,pantip
29,ฝ่ายสินไหมแจ้งว่า รอผู้ใหญ่ของทาง AXA มาพิจารณาค่ะหยุดยาวจนถึงอาทิตย์หน้าช่วยกลับมาทำงานด้วยค่ะวันนี้วันที่3 ฝ่ายสินไหมแจ้งว่า ไม่มีผู้ใหญ่ในห้องวันที่4-5 ก็ลาหยุด 6-7 ติดเสาร์อาทิตย์ช่วยกลับมาทำงานด้วยค่ะหยุดนานเกินไปแล้วไหมคะ,pantip
30,เราโดน AXA ปฎิเสธความคุ้มครอง ใครเคยโดนบ้างคะ,pantip
31,เราโดนปล้นทรัพย์ที่ต่างประเทศค่ะ ไม่น่าทำกับ AXA เลยของเราเข้าข่ายมาก สงสัยต้องเสียเวลาไปคปภ.,pantip
32,ประกันการเดินทาง,pantip
33,ซื้อประกันการเดินทางกับ แอกซ่า axa ปกติก็ซื้อของเจ้านี้ประจำค่ะ แต่พอดีรอบนี้วีซ่าไม่ผ่าน เลยส่งเอกสารขอ refundไป ทางบริษัทส่งอีเมลล์แจ้งมาว่ายกเลิกประกันให้แล้ว รอคืนเงิน ตอนนี้ผ่านมา 2-3 อาทิตย์ ส่งอีเมลล์ไปถามก็เงียบ. ทำไมให้รอนานจังค่ะ,pantip
34,ประกันการเดินทาง refund,pantip
35,ซื้อประกันการเดินทางกับ แอกซ่า axa ปกติก็ซื้อของเจ้านี้ประจำค่ะ แต่พอดีรอบนี้วีซ่าไม่ผ่าน เลยส่งเอกสารขอ refundไป ทางบริษัทส่งอีเมลล์แจ้งมาว่ายกเลิกประกันให้แล้ว รอคืนเงิน ตอนนี้ผ่านมา 2-3 อาทิตย์ ส่งอีเมลล์ไปถามก็เงียบ. ทำไมให้รอนานจังค่ะ,pantip
36,refund ประกันการเดินทาง,pantip
37,ซื้อประกันการเดินทางกับ แอกซ่า axa ปกติก็ซื้อของเจ้านี้ประจำค่ะ แต่พอดีรอบนี้วีซ่าไม่ผ่าน เลยส่งเอกสารขอ refundไป ทางบริษัทส่งอีเมลล์แจ้งมาว่ายกเลิกประกันให้แล้ว รอคืนเงิน ตอนนี้ผ่านมา 2-3 อาทิตย์ ส่งอีเมลล์ไปถามก็เงียบ. ทำไมให้รอนานจังค่ะ   แก้ไขข้อความเมื่อ,pantip
38,ช่วยแนะนำประกันการเดินทาง Kashmir Great Lakes ด้วยค่ะ (หรือพวกทริปเดินเขาทั่วไปที่อินเดียก็ได้ค่ะ),pantip
39,มีท่านใดเพิ่งไปมา ใช้ประกันเจ้าไหนกันบ้างคะ?ทริปนี้ความสูงมากที่สุด ที่ 4200 เมตร น่าจะไม่ต้องใช้ถึงพวก recue ฉุกเฉินใช่มั้ยคะขอบพระคุณค่ะ,pantip
40,รถพุ่งชนเข้าร้าน ประกันภัยดำเนินเรื่องกี่วัน?,pantip
41,ไม่ทราบว่าขั้นตอน ระยะเวลาเคลมประกันนานมากไหมคะทางร้านเราโดนรถที่ชนกันสี่แยกแล้วเสียหลักพุ่งเข้าร้าน มีโครงร้านที่เป็นกระจกเสียหายทั้งหมดและตู้เย็นตอนนี้เราสำรองออกจ่ายไปก่อนทุกอย่าง แต่กลุ้มใจมากเลยค่ะ เรายื่นเรื่องให้ประกัน เมืองไทยประกันภัย 1484ระยะเวลา18 วันแล้ว รวมสงกรานต์ ไม่มีใครติดต่อกลับมาและเบอร์ภายในที่ให้ก็ไม่มีใครรับสายเลยค่ะจากที่เค้าแจ้งมาว่าจะติดต่อกลับภายใน 7 วันใครมีประสปการณ์หรือความรู้ขอความคิดเห็นหน่อยนะคะขอบคุณมากๆนะคะ   แก้ไขข้อความเมื่อ,pantip
42,แนะนำประกันการเดินทางไปญี่ปุ่นหน่อยครับ,pantip
43,คือผมกำลังจะไปญี่ปุ่นแต่ไม่รู้ว่าจะซื้อประกันของอันไหนดี มีเยอะไปหมดเลยครับ cigna msig chubb alliance sompo ฯลฯ ช่วยแนะนำหน่อยนะครับ ว่าเคลมยากมั้ย นานมั้ย สะดวกรึเปล่า ขอบคุณครับ🙏,pantip
44,สอบถามเคื่องประกันการเดินทางค่ะ,pantip
45,1.จ่ายค่ารักษาพยาบาล หมายถึง เเค่อุบัติเหตุรึเปล่าคะ หรือสมมุติว่าเราไปท้องเสียที่นู้นสามารถใช้ประกันนี้ได้ไหม2.สนใจของชัชบ์ค่ะ ไม่ทราบมีใครพอมีคำแนะนำไหม บอกเพิ่มเติม เราไปทำงานต่างประเทศค่ะ คิดว่าจะซื้อรายปี   แก้ไขข้อความเมื่อ,pantip
46,ซื้อประกันเดินทางไปต่างประเทศโซนเอเชีย / เลือกบริษัทใหนดีคะ,pantip
47,สวัสดีค่ะ ตามหัวข้อเลยค่ะ พอดีจะเดินทางไปต่างประเทศ(ฮ่องกง) แล้วจะซื้อประกันเดินทางไปต่างประเทศโซนเอเชีย / เลือกบริษัทใหนดีคะ เป็นแบบรายปีค่ะ รบกวนผู้ที่ทราบแนะนำหน่อยค่า #ประกันเดินทางต่างประเทศ   แก้ไขข้อความเมื่อ,pantip
48,"ประกันภัยรถยนต์ 2+,3+ เชิงพาณิชย์",pantip
49,"อยากสอบถามผู้รู้ ในกรณีที่เราซื้อประกันภัยชั้น 2+, 3+ เชิงพาณิชย์ ปกติใช้ในการทำงานส่งของ แต่นอกเหนือเวลางานนำชีวิตประจำวัน หรือ ท่องเที่ยว แต่หากเกิดอุบัติเหตุ มาประกันยังจะคุ้มครองหรือไม่ หรือว่าจะเป็นการผิดเงื่อนไขกรมธรรม์ ครับ   แก้ไขข้อความเมื่อ",pantip
50,อยากสอบถามการรักษานักท่องเที่ยวเด็กเมื่อไม่สบาย ปวดท้อง เมื่อมาเที่ยวในฮ่องกง,pantip
51,สวัสดีคะ รบกวนสอบถาม พอดีพาลูกสาวมาเที่ยวฮ่องกง วันนี้กลับมามีบ่นปวดท้องแล้วอ้วกพุ่งสองรอบ เมื่อกี้วัด มีไข้ต่ำๆ อยากสอบถาม คลินิค หรือโรงพยาบาล คะ พักอยู่แถว มงก๊ก อีสต์ (มีทำประกันการเดินทางมาคะ),pantip
52,ผมพึ่งสมัครประกันอุบัติเหตุของ Chubb ประกันภัยทางโทรศัพท์ไปเมื่อสักครู่ เมื่อเวลา 15:12 วันที่ 14/03/66,pantip
53,อยากสอบถามผู้รู้ว่าสามารถยกเลิกได้ที่ไหนครับ พอดีพึ่งอ่านความคิดเห็นของใครหลายๆคนแล้วรู้สึกว่ามีปัญหาเยอะมากครับ ขอบคุณมา ณ ที่นี้ด้วยครับ 🙏🏼   แก้ไขข้อความเมื่อ,pantip
54,ประกันรถยนตฺที่คุ้มครองคู่กรณี ควรทำอันไหนดีคะ,pantip
55,เราขับ brio amaze อายุรถประมาณ 8 ปีค่ะ อยากทำประกัน ที่มาเคลียร์ให้ถ้าเราไปชนใคร แต่ไม่ทำชั้นหนึ่งแน่นอน เพราะรถเรารอยเยอะแล้วแล้วก็ไม่อยากเสียเบี้ยประกันแพง แต่อยากมีคนมาเคลียร์ให้ ถ้ามันเกิดอุบัติเหตุจริงๆ เราเป็นผู้หญิง บางครั้งก็ขับรถทางไกลคนเดียวค่ะ มีประกันไว้น่าจะรู้สึกอุ่นใจขึ้น รบกวนผู้รู้ช่วยแนะนำหน่อยค่ะ ควรทำชั้นไหน ของเจ้าอะไรดี ไม่เอาชั้น 1 นะคะ,pantip
56,มีใครไปเที่ยวต่างประเทศแต่ไม่ซื้อประกันเดินทางบ้างคะ?,pantip
57,สวัสดีค่ะพอดีกำลังทำรายงานหัวข้อเกี่ยวกับการซื้อประกัน เลยอยากรบกวนสอบถามข้อมูลของคนที่ไปเที่ยวต่างประเทศตามชื่อหัวข้อเลยค่ะ โดยอยากทราบว่า- มีท่านใดในที่นี้ที่ไปเที่ยวต่างประเทศแต่ไม่ซื้อประกันเดินทางบ้างไหมคะ?- และเหตุผลที่ไม่ซื้อเพราะอะไรคะ?ขอบคุณค่ะ,pantip
58,ประกันอุบัติเหตุ ของปี 2566 ที่ไหนคุณสุด,pantip
59,ขอคำแนะนำ ประกันอุบัติเหตุ มีงบประมาณ 2500 ต่อปีครับจะทำให้ลูกอายุ 11 และ ตัวเอง ครับอันไหนน่าสนฝากแนะนำนะครับ,pantip
60,ไปญี่ปุ่น 3 เดือน ทำประกันสุขภาพของที่ไหนดีครับ,pantip
61,ไปเรียนญี่ปุ่น 3 เดือนไปทั้งครอบครัวทำประกันสุขภาพแบบไหนดีครับไม่ต้องสำรองจ่ายหรือจ่ายแล้วมาเคลมเองวงเงินประมาณเท่าไหร่ดีขอบคุณครับ,pantip
62,ตอนนี้อยู่อเมริกา มาเที่ยว 4-5 เดือน ค่ะ ไม่ได้ทำประกันท่องเที่ยวก่อนมา กรณีนี้สามารถทำได้อยู่หรือไม่คะ,pantip
63,เราอาศัยอยู่ในแถบคาริบเบียน ได้เดินทางจากที่นั่นมาเที่ยวแคลิฟอร์เนีย (ไมาได้มาจากเมืองไทย) ตอนนี้มาถึงอเมริกาได้อาทิตย์กว่าแล้วค่ะด้วยความที่มีประกันชีวิตอยู่แล้วก็เลยเดินทางมาเลยโดยที่ไม่ได้ซื้อประกันแบบท่องเที่ยวก่อนที่จะบินมาแต่หลายคนบอกว่าควรจะซื้อไว้ในช่วงที่เราอยู่ที่นี่พอติดต่อตัวแทนประกันเค้าบอกว่าประกันการท่องเที่ยวต้องซื้อประกันก่อนเดินทาง เราอยากทราบว่าถ้าเราอยากทำประกันตอนถึงจุดหมายแล้วเราควรจะทำประกันประเภทไหนคะในช่วงระยะเวลาห้าเดือนที่เราอยู่ที่นี่ค่ะตอนนี้สุขภาพแข็งแรงดีค่ะรบกวนขอคำแนะนำด้วยนะคะ,pantip
64,ตอนนี้เวลาจะไปเกาหลีต้องใช้ประกันการเดินทางด้วยมั้ยคะ,pantip
65,รบกวนสอบถามค่ะตอนนี้เวลาไปเกาหลีเราต้องทำประกันไหมค่ะแล้วถ้าทำประกันกับบริษัทไหนดีคะรบกวนขอคำแนะนำหน่อยคะเพราะบริษัทไหนๆก็ดูจะเหมือนกันหมดเลือกไม่ถูกขอบคุณค่ะ,pantip
66,สอบถามเกี่ยวกับทุนประกันใน พ.ร.บ,pantip
67,สวัสดีค่ะ อยากจะรบกวนสอบถามหน่อยนะคะ ในภาพที่เราวงสีม่วงไว้ มันขึ้นว่า ทุนประกันภัย = 0อันนี้คือเราจะไปเบิก พ.ร.บ ไม่ได้หรอคะ มันขึ้นว่า 0 เราไม่รู้จริงๆ ไม่รู้เรื่องรถเลย อยากจะสอบถามหน่อยค่ะ ขอบคุณค่ะ,pantip
68,ประกันเดินทางไปญี่ปุ่น 7 วัน แบบไม่ต้องสำรองจ่ายหากอุบัติเหตุหรือเจ็บป่วย + คุ้มครองการรักษาโควิดด้วยใช้เจ้าไหนครับ,pantip
69,ช่วงนี้เพื่อนๆคนไทยเดินทางไปท่องเที่ยวญี่ปุ่นกันเพื่อนๆเลือกซื้อประกันเดินทางของเจ้าไหนครับผมอยากได้ในลักษณะนี้ครับ1.ไม่ต้องสำรองจ่ายหากเกิดอุบัติเหตุหรือเจ็บป่วย2.คุ้มครองรักษาโควิดหากติดโควิดที่โน่น3. ไปญี่ปุ่นครับ ฮอกไกโด 7 วัน4. เสียชีวิตอันนี้ น่าจะมี offer ทุกเจ้าแต่เน้นข้อ 1-2 ครับ 'ขอบคุณครับ   แก้ไขข้อความเมื่อ,pantip
70,ยื่นค่าเสียประโยนช์จากการใช้รถยนต์,pantip
71,รถเราได้รับอุบัติเหตุโดยเป็นฝ่ายถูกซ่อมตั้งแต่ 8 ตุลาคม ถึง 5 ธันวาคม ระยะเวลา 58 วันทาง บ.วิริยะ มาตัดวันเรา เหลือ 40 วันไม่เข้าใจเลยค่ะ ให้เหตุผลว่ารถควรซ่อมเสร็จไม่เกิน 40 วัน แล้วยังไงค่ะ เราก็ติดตามตลอดว่าถึงขั้นไหนแล้วตอนซ่อม ถ้า บ. ไม่อยากจะจ่ายเงินในส่วนนี้มาก ทำไมไม่ติดตามเรื่องกับ บ.และ ศูนย์ที่เราไปซ่อม รู้สึกเสียความรู้สึกมาก จะทำประกันกับ บ.นี้หรือริดจะทำนี่ต้องคิดหนักๆเลยนะผลักภาระให้ผู้บริโภคจนเกินไปไหม,pantip
72,[CR] เที่ยวต่างประเทศกับผู้สูงอายุประกันสำคัญมากก,pantip
73,อัดอั้นมากกกก3ปีที่ผ่านมาทำงานๆๆๆอยู่บ้านไม่ไปเที่ยวไหนเลยเพราะที่บ้านมีพ่อแม่อยู่ด้วยกลัวว่าจะไปเอาโควิดมาเข้าบ้านที่เราซีเรียสเรื่องนี้มากกกก็เพราะว่าเพื่อนสนิทเราก็เสียแม่ไปเพราะเป็นโควิดนี่แหละดังนั้นเราจึงพยายามป้องกันให้สุดไปเลยจ๊ะพยายามไม่ไปที่คนเยอะมีที่ต้องออกจากบ้านก็แค่เข้าออฟฟิศไปทำบัญชีช่วงสิ้นเดือนที่ต้องจ่ายเงินลูกน้องเฉยๆนอกนั้นส่วนใหญ่ก็คืออยู่บ้านหากิจกรรมซื้อต้นไม้มาปลูกบ้างดูซีรี่ย์บ้างพาพ่อแม่ไปเดินเล่นในสวนบ้างวนไปหวังว่าพอเปิดประเทศจะพาครอบครัวไปเที่ยวต่างประเทศกันพร้อมหน้าพร้อมตาเฝ้ารออย่างใจจดใจจ่อจนได้ข่าวว่าญี่ปุ่นเปิดประเทศแล้วไม่ต้องกักตัวให้วุ่นวายด้วยไม่รออะไรแล้วจ้าาาคุยกับพี่สาวช่วยกันหารพาพ่อแม่และครอบครัวไปเที่ยวญี่ปุ่นกันจ้าาาการเตรียมตัวก็วุ่นวายพอควรมีต้องลงทะเบียนในแอปmysosเตรียมหลักฐานการฉีดยาโดยการโชว์แอพหมอพร้อมกรอกข้อมูลvisitjapanเพื่อเตรียมโชว์ให้ตม.ตอนเข้าเท่านั้นแหละแต่สิ่งสำคัญเลยที่เราอยากพูดถึงก็คือประกันการเดินทางเพราะเรามีนิสัยที่คิดเสมอว่าป้องกันใว้ดีกว่าแก้ไขดังนั้นอย่างแรกเลยที่เราทำคือทำประกันเราไม่สามารถบอกได้ว่ายี่ห้อไหนดีตัวไหนเริ่ดเพราะเราเคยใช้มาแค่ครั้งเดียวและก็ไม่ได้คิดว่าอยากจะใช้ด้วยเนื่องจากทริปนี้เราไปกับพ่อแม่พ่อกับแม่เรา72กับ73แล้วไงด้วยอายุที่มากแต่ท่านแข็งแรงสุดๆนะวิ่งก็ยังไหวอยู่จึงประเมินกันแล้วว่าไปเที่ยวตปทได้จ้าดังนั้นการหาประกันที่ครอบคลุมอายุ70กว่ายากมากมีไม่กี่บริษัทแต่เราดูๆอ่านข้อมูลไรแล้วเลือกใช้ของซิกน่าจ้ะคิดซะว่ามีใว้ก่อนสบายใจกว่าเพราะถ้าเกิดเหตุอะไรขึ้นไมเกรนพุ่งแน่นอนเพราะค่ารักษาของญี่ปุ่นแพงมากกกกกกแพงพอๆกับอเมริกาเลยก็ว่าได้ดังนั้นเที่ยวญี่ปุ่นรอบนี้ไม่คิดเยอะเลยซื้อใว้ก่อนเพื่อความสบายใจการเที่ยวภาพรวมของทริปนี้คือสนุกสนานมากค่ะช็อปปิ้งเที่ยวเต็มอิ่มและที่สำคัญคืออาหารอร่อยทุกมื้ออากาศนี่เหมาะกับการเดินชิลล์ๆเพราะไม่ร้อนและไม่หนาวจนเกินไปแต่ดันมาแจ็คพ็อตตรงที่พ่อเราเดินๆอยู่ขาก้าวไม่ออกล้มโชคดีพ่อเรามีสติเลยใช้มือยันพื้นใว้ไม่งั้นหน้าทิ่มกระแทกพื้นไม่รู้จะเป็นยังไงจากที่กำลังสนุกสนานมีความสุขกันหมดสนุกเลยจ้ากลับโรงแรมเลยคิดว่าไม่ได้หนักหนาอะไรแต่พอมาถึงโรงแรมพ่อเราบ่นปวดมือเราเลยติดต่อประกันเช็ครพที่ไม่ต้องสำรองจ่ายเพราะกลัวว่ากระดูกร้าวหรือหักไหมก็ไม่รู้และรีบพาไปรพเลยทันทีสรุปพอไปถึงหมอเค้าก็เอ็กซเรย์นู้นนี่นั่นสรุปออกมาคือแค่มือส้นเท้านั้นเองเห้อออโล่งอกไปแต่แค่มือส้นค่าใช้จ่ายก็แพงมากกกกนะบอกเลยค่ารักษาที่ญี่ปุ่นเค้าไม่ธรรมดาจริงๆอันนี้คอนเฟิร์มแต่วันนั้นเราไม่ได้จ่ายเพราะให้ทางประกันซิกน่าเคลียให้หมดรอดไปจ้าาาาเรื่องนี้อยากมาเตือนสติทุกคนจริงๆว่าการเที่ยวกับผู้สูงอายุต้องเตรียมตัวให้พร้อมทั้งยาทั้งเรื่องอื่นๆคิดร้ายสุดใว้ดีกว่าไม่งั้นทริปนี้หัวฟูแน่จ้าาาา ชื่อสินค้า:เที่ยวต่างประเทศ  คะแนน:CR - Consumer Review : กระทู้รีวิวนี้เป็นกระทู้ CR โดยที่เจ้าของกระทู้- จ่ายเงินซื้อเอง หรือได้รับจากคนรู้จักที่ไม่ใช่เจ้าของสินค้า เช่น เพื่อนซื้อให้- ไม่ได้รับค่าจ้างและผลประโยชน์ใดๆ,pantip
74,ประกันอุบัติเหตุส่วนบุคคล PA โดยสารรถจักรยานยนต์ เน้นแบบเสียชีวิต,pantip
